0.0819332998996991,g__Corynebacterium,s__Corynebacterium accolens,0.6090400745573150,0.82991612301957
0.011221163490471400,g__Corynebacterium,s__Corynebacterium sp022346005,0.0834109972041004,0.102050326188257
0.00802407221664995,g__Staphylococcus,s__Staphylococcus epidermidis,0.0596458527493009,0.0354147250698975
0.005704613841524570,g__Staphylococcus,s__Staphylococcus caprae,0.0424044734389561,0.0326188257222739
0.005579237713139420,g__Corynebacterium,s__Corynebacterium propinquum,0.0414725069897483,
0.005140421263791370,g__Corynebacterium,s__Corynebacterium sp943914355,0.0382106244175209,
0.004764292878635910,g__Pseudomonas,s__Pseudomonas aeruginosa,0.0354147250698975,
0.004388164493480440,g__Spirillospora,s__Spirillospora cremea,0.0326188257222739,
0.004074724172517550,g__Corynebacterium,s__Corynebacterium sp000478175,0.0302889095992544,
0.0036985957873620900,g__Corynebacterium,s__Corynebacterium pseudodiphtheriticum,0.0274930102516309,
0.8654714142427280,unclassified,unclassified,,